protein_name1,protein_name2
Q05016,P53937
Q03778,P28791
P28791,Q03778
P04150,Q09154
Q09154,P04150
Q9LUA2,Q9SIT9
Q9SIT9,Q9LUA2
Q96RK0,P81605
P81605,Q96RK0
P46674,P38827
P38827,P46674
P0C0V0,P75788
P75788,P0C0V0
P16664,Q06708
Q06708,P16664
P50947,P53378
P53378,P50947
O00159,Q96I25
Q96I25,O00159
P32797,P53064
P53064,P32797
P17169,P32137
P32137,P17169
P33203,P53207
P53207,P33203
Q00684,P18562
P18562,Q00684
Q92772,Q5XPI4
Q5XPI4,Q92772
O13681,G2TRR4
G2TRR4,O13681
P0AAG0,P0AB01
P0AB01,P0AAG0
P23930,P0AAB4
P0AAB4,P23930
Q9ZU94,Q9FG00
Q9FG00,Q9ZU94
P61326,P78362
P78362,P61326
P0AEG1,P64602
P64602,P0AEG1
P36012,P05747
P05747,P36012
Q9Y6H1,P49354
P49354,Q9Y6H1
P22082,P18480
P18480,P22082
Q9UER7,P68431
P68431,Q9UER7
Q9VYX1,Q9U5W9
Q9U5W9,Q9VYX1
P22987,O94487
O94487,P22987
P22133,Q00723
Q00723,P22133
P47134,P41544
P41544,P47134
O95997,Q7Z2H8
Q7Z2H8,O95997
P61604,O94992
O94992,P61604
Q99836,P10599
P10599,Q99836
Q8VE47,P61961
P61961,Q8VE47
Q16795,O94761
O94761,Q16795
P46985,P22147
P22147,P46985
P22579,Q12082
Q12082,P22579
P21599,P39321
P39321,P21599
P33596,Q47688
Q47688,P33596
P32521,P40155
P40155,P32521
Q9V895,Q9NDJ2
Q9NDJ2,Q9V895
Q09472,P42226
P42226,Q09472
P09067,Q07627
Q07627,P09067
Q9C0K0,Q13547
Q13547,Q9C0K0
Q96P20,O95630
O95630,Q96P20
P53739,P40015
P40015,P53739
P45551,P76280
P76280,P45551
Q12950,O43865
O43865,Q12950
P22696,D6VTK4
D6VTK4,P22696
Q09170,P42656
P42656,Q09170
Q9Y4W6,Q969S9
Q969S9,Q9Y4W6
P07550,P45880
